Date,No of Trans,Max,Min,Close,Volume
2017-01-30,69.0,465.0,442.0,442.0,12799.0
2017-01-31,37.0,464.0,435.0,458.0,11409.0
2017-02-01,60.0,485.0,465.0,483.0,9886.0
2017-02-02,94.0,500.0,480.0,483.0,15620.0
2017-02-05,27.0,492.0,470.0,470.0,3121.0
2017-02-06,47.0,468.0,455.0,455.0,5122.0
2017-02-07,35.0,463.0,451.0,455.0,4245.0
2017-02-08,77.0,460.0,448.0,450.0,9700.0
2017-02-09,78.0,453.0,440.0,445.0,12428.0
2017-02-12,75.0,453.0,416.0,429.0,11551.0
2017-02-13,58.0,443.0,413.0,440.0,11039.0
2017-02-14,82.0,447.0,424.0,437.0,13085.0
2017-02-15,47.0,456.0,442.0,453.0,12899.0
2017-02-16,98.0,460.0,450.0,453.0,16259.0
2017-02-19,118.0,452.0,441.0,445.0,23260.0
2017-02-20,98.0,455.0,440.0,440.0,17150.0
2017-02-21,98.0,465.0,437.0,439.0,18863.0
2017-02-22,102.0,442.0,430.0,434.0,22813.0
2017-02-23,69.0,442.0,427.0,440.0,14367.0
2017-02-26,40.0,445.0,430.0,434.0,6391.0
2017-02-28,91.0,426.0,417.0,421.0,16732.0
2017-03-01,55.0,430.0,421.0,430.0,5008.0
2017-03-02,57.0,435.0,425.0,435.0,5828.0
2017-03-05,79.0,448.0,432.0,443.0,12347.0
2017-03-06,75.0,456.0,446.0,449.0,9615.0
2017-03-07,48.0,443.0,439.0,439.0,5596.0
